code,20110701-20120731,20131001-20150131,total_return_rate
酒店Ⅱ(申万),-7.15071885533466,42.05390608714803,42.05390608714803
互联网传媒(申万),-19.48606390210742,41.86051199354968,41.86051199354968
金属制品Ⅱ(申万),-37.330586885279786,39.91318857722204,39.91318857722204
电气自动化设备(申万),-39.89133342510084,39.833244503256104,39.833244503256104
专用设备(申万),-36.36383699359082,39.73656136378479,39.73656136378479
汽车整车(申万),-30.1269856076432,39.680727224195344,39.680727224195344
旅游综合Ⅱ(申万),-4.0697099212473775,39.13174073891007,39.13174073891007
景点(申万),-4.76749825699474,38.83002870899057,38.83002870899057
饲料Ⅱ(申万),-11.485271345504199,38.50152025638918,38.50152025638918
医疗服务Ⅱ(申万),4.368379786923303,38.33408213525025,38.33408213525025
医药商业Ⅱ(申万),-14.30665313694741,38.235359018491565,38.235359018491565
计算机设备Ⅱ(申万),-23.753012322102485,37.9488251276386,37.9488251276386
工业金属(申万),-41.611491866936284,36.572857234438096,36.572857234438096
银行Ⅱ(申万),-12.843939526508976,35.79088175954581,35.79088175954581
通信运营Ⅱ(申万),-31.86297382827841,34.46892290980686,34.46892290980686
园区开发Ⅱ(申万),-28.150914544492146,34.279010574057665,34.279010574057665
一般零售(申万),-31.783053057724644,34.04828905023243,34.04828905023243
畜禽养殖Ⅱ(申万),-21.40447163615098,33.97204158466671,33.97204158466671
元件Ⅱ(申万),-34.01126558646846,33.328121993457785,33.328121993457785
商业物业经营(申万),-30.450185259663034,33.27156616415409,33.27156616415409
化学制品(申万),-31.05942580670242,32.59328078870687,32.59328078870687
金属非金属新材料(申万),-13.587780375632686,31.213553979511424,31.213553979511424
光学光电子(申万),-37.10815015436203,30.18163766432935,30.18163766432935
生物制品Ⅱ(申万),-16.176102509759815,29.39120050345132,29.39120050345132
造纸Ⅱ(申万),-35.92407065647245,28.126206161152957,28.126206161152957
黄金Ⅱ(申万),-25.81604796161087,27.102604829714537,27.102604829714537
种植业(申万),-32.244615236750604,26.51430937901873,26.51430937901873
环保工程及服务Ⅱ(申万),-25.61905227281057,26.103635399727175,26.103635399727175
汽车服务Ⅱ(申万),-43.66122745590275,25.751045489459766,25.751045489459766
燃气Ⅱ(申万),-16.198775144515764,25.63526308780961,25.63526308780961
石油化工(申万),-27.006614947315732,23.984805963705178,23.984805963705178
饮料制造(申万),4.189303981889214,23.19278325974967,23.19278325974967
玻璃制造Ⅱ(申万),-50.32580768317976,22.68105301667325,22.68105301667325
渔业(申万),-17.26669811267142,22.339254567930514,22.339254567930514
化学制药(申万),-26.759568443167872,22.150851865922426,22.150851865922426
稀有金属(申万),-19.833425053741042,20.832998618560804,20.832998618560804
采掘服务Ⅱ(申万),-14.997868650286186,20.093577644407844,20.093577644407844
装修装饰Ⅱ(申万),23.734706909987025,17.967084217999822,17.967084217999822
其他采掘Ⅱ(申万),-42.33843571400024,17.653653535524906,17.653653535524906
电子制造Ⅱ(申万),-12.958879394592426,12.49330823561916,12.49330823561916
中药Ⅱ(申万),-4.81545917733317,10.958999847220552,10.958999847220552
煤炭开采Ⅱ(申万),-34.46894965833518,6.550733261252907,6.550733261252907
园林工程Ⅱ(申万),13.500123930617326,5.315987261602984,5.315987261602984
专业零售(申万),-46.27266773097548,-3.0379357976528354,-3.0379357976528354
文化传媒(申万),-16.06440021204033,-3.541593524712761,-3.541593524712761
食品加工(申万),-8.67933476440762,-4.1937391107448985,-4.1937391107448985
营销传播(申万),13.050776332354186,-8.223204936484695,-8.223204936484695
